Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,
2,0.02,5.524788,179.5241,358.2648,353.6864,214.4891,331.1791,63.44152,255.1735,108.3487,4.371047,167.9315,355.784,4.371037,167.9315,355.784,344.8506,135.0555,55.71681,44.67812,145.9272,299.2584,20.30915,172.2122,7.506665,19.75514,172.2962,7.751717,350.9544,180.7605,356.4025,350.9544,180.7605,356.4025,351.2211,178.7518,345.1039,351.2211,178.7518,345.1039,348.8339,167.6009,307.5434,345.9334,165.4914,314.2262,6.944453,165.7292,6.59772,330.7099,203.6095,318.4669,349.9984,184.2581,349.7338,351.2211,178.7518,345.1039,357.4804,183.8653,48.68522,353.2907,187.55,43.80378,359.6231,177.9606,359.6571,
3,0.12,4.579237,179.9746,359.5332,346.8023,219.7652,315.3863,66.61607,240.8693,89.38815,4.370402,167.932,355.7865,4.3704,167.932,355.7865,339.9859,129.9688,62.37159,24.91412,142.5689,295.5416,21.6562,171.996,6.902693,19.75513,172.2962,7.751719,354.5963,180.3587,358.9745,354.5963,180.3587,358.9745,359.0262,178.4763,351.4666,359.0262,178.4763,351.4666,355.7021,163.4081,307.7115,352.8031,161.337,314.1408,6.884188,165.7427,6.54001,343.7824,197.1708,328.3661,359.3121,180.4188,359.0204,359.0262,178.4763,351.4666,3.387399,186.6107,48.24651,359.2137,190.3026,43.74569,359.6528,177.9809,359.6462,
4,0.1359846,10.22048,178.5815,356.3953,357.9206,210.0405,1.519373,349.7389,180.6389,355.343,20.81298,169.6971,2.714624,4.370131,167.9383,355.7995,350.2407,147.8453,359.6046,344.4724,177.8391,3.344553,52.24791,152.9893,341.6161,19.75514,170.8603,7.751723,348.7154,179.6066,356.3315,348.7154,179.6066,356.3315,3.080694,177.6828,356.8652,3.080694,177.6828,356.8652,1.071005,176.485,21.83463,2.248013,171.5958,352.2026,6.454996,165.9291,6.078192,342.9233,180.9755,350.7447,0.6882669,176.6149,359.1055,3.080694,177.6828,356.8652,2.152643,169.8565,356.3007,2.481196,175.4224,351.9411,359.5062,178.0555,1.011145,
5,0.1464676,12.0296,179.149,357.7154,355.7469,211.2271,357.2577,345.7641,182.1661,352.6292,25.77369,170.8549,5.189465,4.372136,167.94,355.7943,348.227,148.1837,359.6693,342.6991,178.4713,2.347777,50.34188,152.3409,341.7931,19.75513,170.6387,7.751723,351.1964,179.4792,357.9665,351.1964,179.4792,357.9665,8.068995,178.1704,359.8267,8.068995,178.1704,359.8267,5.72954,180.5812,19.51985,6.900706,173.2189,353.3152,6.443877,165.9796,6.126945,347.8084,179.5806,354.1086,0.5427863,176.7082,359.0797,8.068995,178.1704,359.8267,6.376754,166.7964,354.3504,6.874195,172.3826,350.4108,359.5234,178.0609,1.039954,
6,0.1533056,12.07381,179.1626,357.7437,355.6602,211.2622,357.0902,345.6072,182.2151,352.5219,26.27378,170.9844,5.450115,4.372138,167.94,355.7943,348.7922,148.1745,359.7242,343.1602,178.3714,2.694166,50.89681,152.4963,341.9283,19.75514,170.5044,7.751719,351.2466,179.4782,358.0028,351.2466,179.4782,358.0028,8.178301,178.1883,359.902,8.178301,178.1883,359.902,5.824128,180.7117,19.47842,6.997494,173.2955,353.3979,6.443878,165.9796,6.126947,347.9105,179.5519,354.1907,0.5379294,176.7174,359.0779,8.178301,178.1883,359.902,6.457125,166.6856,354.2682,6.962145,172.2721,350.3366,359.5234,178.0609,1.039955,
7,0.1593813,12.10331,179.1704,357.7639,355.5808,211.2861,356.9845,345.4866,182.2448,352.4667,26.53385,171.0676,5.594914,4.374541,167.94,355.7926,349.1332,148.1693,359.756,343.4394,178.3127,2.901231,51.23167,152.5899,342.0103,19.75514,170.4224,7.751722,351.2798,179.4747,358.0288,351.2798,179.4747,358.0288,8.251114,178.1973,359.9554,8.251114,178.1973,359.9554,5.904486,180.7057,19.47495,7.074556,173.3362,353.4043,6.383415,166.0202,6.111365,347.9771,179.5234,354.2512,0.5321504,176.7108,359.0825,8.251114,178.1973,359.9554,6.523018,166.6607,354.2471,7.029764,172.2478,350.3221,359.5451,178.0968,1.013507,
8,0.1705243,12.12361,179.177,357.7777,355.5275,211.3035,356.9049,345.4015,182.2673,352.4217,26.77654,171.1373,5.731944,4.380001,167.9383,355.7997,349.423,148.1658,359.7825,343.677,178.2646,3.076417,51.51611,152.6722,342.0804,19.75513,170.3542,7.751719,351.2984,179.4742,358.0475,351.2984,179.4742,358.0475,8.294852,178.2069,359.9942,8.29485,178.2069,359.9942,5.962224,180.6824,19.44146,7.126707,173.3998,353.4871,6.261238,166.0671,6.066646,348.0117,179.51,354.2964,0.520621,176.7173,359.0923,8.29485,178.2069,359.9942,6.558142,166.6606,354.2108,7.068233,172.2478,350.2894,359.5082,178.0958,0.9269043,
9,0.1814098,12.14165,179.1839,357.7909,355.4766,211.3231,356.7958,345.3042,182.2967,352.3489,27.14318,171.2352,5.924238,4.374479,167.9398,355.7971,349.9185,148.159,359.8268,344.084,178.1831,3.373944,52.00133,152.8193,342.1993,19.75514,170.2424,7.751723,351.3157,179.4747,358.0652,351.3157,179.4747,358.0652,8.33515,178.2172,0.03039357,8.33515,178.2172,0.03039357,6.01251,180.6444,19.47009,7.176279,173.4155,353.4937,6.123436,166.091,5.99697,348.044,179.5013,354.3395,0.5094648,176.7288,359.1049,8.33515,178.2172,0.03039357,6.591409,166.6492,354.1866,7.103683,172.2366,350.2686,359.4248,178.0833,0.9372165,
10,0.1924673,12.17949,179.1968,357.8161,355.422,211.3533,356.6698,345.1956,182.3389,352.2627,27.42504,171.3094,6.075533,4.375394,167.9397,355.8008,350.307,148.1601,359.8585,344.4048,178.1272,3.603888,52.38268,152.9338,342.2928,19.75513,170.1516,7.751718,351.3539,179.4751,358.0985,351.3539,179.4751,358.0985,8.423583,178.2355,0.09896175,8.423583,178.2355,0.09896175,6.136263,180.6438,19.24579,7.283975,173.4322,353.654,6.052956,166.0972,5.922794,348.1136,179.4821,354.4179,0.4766702,176.7459,359.1184,8.423583,178.2355,0.09896175,6.670241,166.625,354.1563,7.185066,172.2131,350.246,359.3875,178.0743,1.01746,
