Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.02,3.083633,0.05759754,359.7387,341.9284,44.63905,304.179,56.46617,23.29106,44.02622,4.6964,348.5628,355.4098,4.129664,348.5457,355.1876,351.5099,318.1622,65.69798,52.15961,6.884922,349.6018,357.8325,1.259801,359.5051,357.8325,1.259805,359.5051,356.2557,0.05510584,359.6722,356.2557,0.05510584,359.6722,7.291747,359.6516,1.015159,7.291747,359.6516,1.015159,6.662573,345.0106,319.2031,4.221951,342.4117,325.1784,20.55962,348.6383,8.760357,7.456656,1.080619,359.3107,-1.494104E-06,-1.334021E-07,2.152151E-07,7.291747,359.6516,1.015159,10.77366,1.263315,33.02631,7.687975,5.963243,29.19625,17.78185,359.8693,355.0297,
3,0.12,3.519553,0.06440732,359.69,341.7203,45.55412,302.2093,56.19986,21.44444,41.45955,6.117354,348.6142,355.9795,4.124681,348.5443,355.1966,351.1799,317.5645,66.20547,50.97084,4.37863,347.0809,357.8244,1.263665,359.4983,357.8244,1.263668,359.4983,355.8948,0.04967887,359.6444,355.8948,0.04967887,359.6444,8.971165,359.7148,1.683776,8.971165,359.7148,1.683776,8.186423,344.1248,319.3304,5.749965,341.5144,325.2354,20.52429,348.6307,8.874349,8.151085,0.5531275,0.5725941,-4.268867E-07,-6.670106E-08,1.459086E-09,8.971165,359.7148,1.683776,12.19709,1.889205,32.87041,9.119114,6.615011,29.16052,17.76505,359.7341,355.0716,
4,0.1341365,9.259208,359.0533,359.0889,1.761088,30.54969,354.0695,5.604756,0.7260888,357.5764,12.99783,346.4176,358.8015,4.133612,345.8885,355.2612,1.485183,328.0639,0.2062357,353.979,356.9464,9.495986,27.80183,3.344349,353.6866,357.7999,1.252187,359.4956,350.8044,358.4978,359.472,350.8044,358.4978,359.472,6.712604,357.5164,2.120781,6.712606,357.5164,2.120781,5.181953,356.2057,22.47252,6.188744,353.4064,14.73454,19.98382,347.4691,9.420071,346.1467,355.8689,357.9917,354.3147,352.48,1.849975,6.712606,357.5164,2.120781,3.608958,352.1454,343.9496,5.111738,357.5258,339.7743,18.18687,1.029963,355.7422,
5,0.1379666,9.570224,359.0755,359.1991,2.311813,30.47189,355.0602,4.225971,0.7424015,356.7648,12.64818,345.9557,358.6642,4.126994,345.4584,355.2654,0.6641035,327.961,0.7325099,353.0059,356.8262,9.560699,29.56402,3.22367,353.2439,357.8008,1.251038,359.4955,351.0207,358.4455,359.6608,351.0207,358.4455,359.6608,7.536145,357.5465,2.560824,7.536145,357.5465,2.560824,5.631755,357.0334,24.60351,6.747068,354.2748,13.16011,20.01163,347.5259,9.40685,346.9961,355.6127,358.6934,354.3122,352.326,2.38385,7.536145,357.5465,2.560824,4.195997,351.3244,343.5176,5.736576,356.6986,339.3985,18.21642,0.9823625,355.711,
6,0.1426571,9.578558,359.0736,359.1978,2.573772,30.41551,355.4628,3.956229,0.7145507,356.5522,12.48375,345.827,358.5969,4.126995,345.3444,355.2654,0.6291158,327.9523,0.7753302,352.9546,356.8145,9.581467,29.80518,3.228966,353.1974,357.8008,1.251045,359.4955,351.0197,358.4428,359.6596,351.0197,358.4428,359.6596,7.556511,357.5411,2.559875,7.556511,357.5411,2.559875,5.636292,357.0517,24.69794,6.754043,354.3029,13.14663,20.01163,347.5259,9.406853,346.9966,355.6068,358.6913,354.2614,352.3097,2.386478,7.556511,357.5411,2.559875,4.209618,351.3038,343.4924,5.752491,356.6775,339.3746,18.21643,0.9823602,355.711,
7,0.1540211,9.577068,359.0731,359.1987,2.9605,30.33534,356.0579,3.579179,0.6753759,356.2393,12.24541,345.6654,358.5062,4.126729,345.2037,355.2726,0.6207613,327.948,0.8068718,352.932,356.8069,9.605232,29.9749,3.246335,353.1614,357.7939,1.253791,359.4838,351.0129,358.4409,359.6614,351.0129,358.4409,359.6614,7.551567,357.5399,2.565289,7.551567,357.5399,2.565289,5.631347,357.0389,24.74006,6.741716,354.3238,13.1957,19.99767,347.568,9.395117,346.9749,355.5992,358.6992,354.2196,352.3009,2.39172,7.551567,357.5399,2.565289,4.196437,351.3379,343.4164,5.746452,356.7094,339.2975,18.24913,0.9628599,355.7086,
8,0.1654467,9.577967,359.0712,359.2001,3.98701,30.13727,357.7454,2.424357,0.5956656,355.3291,11.52042,345.281,358.2096,4.12721,344.8802,355.2715,0.578391,327.9386,0.860553,352.869,356.7937,9.632005,30.38176,3.256897,353.0811,357.7951,1.256678,359.4818,351.0069,358.437,359.664,351.0069,358.437,359.664,7.552225,357.535,2.569628,7.552225,357.535,2.569628,5.623048,357.0546,24.77515,6.731822,354.3512,13.27099,19.9864,347.5885,9.439355,346.9569,355.5876,358.7095,354.1739,352.2818,2.409814,7.552225,357.535,2.569628,4.183902,351.3528,343.3264,5.742382,356.7217,339.2066,18.28366,0.9756584,355.6343,
9,0.1761059,9.591259,359.0696,359.1982,5.956032,29.83212,1.419852,359.6158,0.5561846,353.2981,10.61479,344.9035,357.8409,4.125882,344.5729,355.269,0.5226187,327.9267,0.9244422,352.7894,356.7775,9.661263,30.80488,3.261815,352.9978,357.7949,1.255978,359.4823,351.0098,358.4354,359.6624,351.0098,358.4354,359.6624,7.58031,357.5297,2.565129,7.58031,357.5297,2.565129,5.653138,357.0858,24.63286,6.759592,354.3608,13.52492,19.95594,347.5929,9.580249,346.9695,355.5879,358.7042,354.1411,352.2701,2.419303,7.58031,357.5297,2.565129,4.196883,351.3552,343.2318,5.764139,356.7217,339.1133,18.32299,1.022529,355.5245,
10,0.1872453,9.603075,359.0698,359.1978,6.843644,29.73355,3.058754,358.2768,0.5853943,352.3091,10.89064,344.4884,357.8399,4.130604,344.3048,355.2666,0.4611965,327.9176,0.9772304,352.7101,356.7658,9.677999,31.10774,3.254908,352.9376,357.7962,1.253922,359.4891,351.0149,358.4364,359.663,351.0149,358.4364,359.663,7.610454,357.5277,2.560161,7.610454,357.5277,2.560161,5.681855,357.0954,24.60693,6.787154,354.3686,13.59658,19.89309,347.6046,9.696396,346.9899,355.6001,358.7037,354.1161,352.2734,2.44742,7.610454,357.5277,2.560161,4.216835,351.3605,343.1642,5.790308,356.7254,339.0479,18.40132,1.101893,355.3673,
