Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,0,180,0,
2,0.02,5.524788,179.5241,358.2648,2.952737,210.7438,341.8656,73.01311,294.359,140.1782,4.292672,169.4319,355.8869,4.292671,169.4319,355.8869,344.8337,135.0516,55.6944,44.57444,145.9074,299.2219,20.22175,172.2257,7.545453,19.75513,172.2962,7.751722,350.9544,180.7605,356.4025,350.9544,180.7605,356.4025,351.2211,178.7518,345.1039,351.2211,178.7518,345.1039,346.0713,162.878,304.8633,343.0789,160.8836,311.6159,11.04213,169.8853,358.9509,330.7099,203.6095,318.4669,349.9984,184.2581,349.7338,351.2211,178.7518,345.1039,355.7498,191.1786,40.7042,352.1162,195.4261,35.67015,358.4082,183.2534,359.4,
3,0.12,4.578593,179.977,359.5359,355.905,213.6694,329.3885,78.59692,301.2299,144.0664,4.292242,169.433,355.8964,4.292241,169.433,355.8964,339.3618,129.1035,63.53602,23.1734,142.5548,296.3865,21.38336,172.0412,7.025988,19.75514,172.2962,7.751716,354.6475,180.3697,358.976,354.6475,180.3697,358.976,359.6617,178.3666,351.2991,359.6617,178.3666,351.2991,353.5142,158.3867,305.2403,350.5302,156.4324,311.7336,10.95575,170.1806,359.1729,345.8371,196.4505,329.2434,2.134434E-06,180,6.828E-07,359.6617,178.3666,351.2991,2.123438,193.2673,40.05864,358.5201,197.5168,35.49781,358.5395,183.0796,359.1765,
4,0.1302906,9.461596,178.2323,355.2289,0.9231311,210.1069,355.8802,349.6456,181.8112,348.8509,22.42238,169.0854,1.97639,4.293916,169.4232,355.8987,343.6097,147.9599,359.0753,339.0229,179.0937,359.3278,45.81222,150.659,340.7014,19.75513,171.4375,7.751719,347.5959,179.9408,354.9812,347.5959,179.9408,354.9812,1.046958,177.6212,354.6742,1.046958,177.6212,354.6742,356.7825,183.3923,25.82781,357.535,184.6476,353.0772,10.45062,171.1165,0.2728322,341.8,182.608,348.8459,2.209285,177.6828,0.02192572,1.046958,177.6212,354.6742,359.5264,170.5866,352.1109,0.2720029,176.1076,347.5165,359.3485,183.1826,359.8252,
5,0.1473882,11.47968,178.9488,356.8187,358.7855,211.6416,351.3963,345.6541,183.9825,345.8236,29.87119,169.4381,4.610809,4.293622,169.4221,355.8969,341.3078,148.4975,358.9264,337.1313,180.1177,357.9052,43.62426,150.0787,340.9036,19.75514,171.3625,7.751719,350.7423,179.8728,356.8272,350.7423,179.8728,356.8272,6.714115,178.0231,357.3459,6.714111,178.0231,357.3459,2.224459,187.4111,22.58336,3.201131,185.3584,354.9784,10.44367,171.0935,0.2672118,347.3293,181.7243,351.5195,2.293691,178.178,359.5095,6.714111,178.0231,357.3459,4.261321,167.7134,350.1878,5.169708,173.2287,346.0569,359.4253,183.2071,359.7961,
6,0.1529661,11.50436,178.9632,356.8304,358.6934,211.6838,351.2115,345.4869,184.0517,345.6988,30.87059,169.5264,4.990745,4.2951,169.4223,355.8988,342.3694,148.4535,359.0623,337.9689,179.8413,358.6246,44.66261,150.3783,341.0366,19.75513,171.2535,7.751727,350.7764,179.8853,356.8409,350.7764,179.8853,356.8409,6.785566,178.0457,357.3739,6.785566,178.0457,357.3739,2.295853,187.4728,22.54025,3.277437,185.3423,355.1224,10.40713,171.0568,0.2949154,347.4027,181.7513,351.5387,2.29048,178.2427,359.4743,6.785566,178.0457,357.3739,4.306515,167.7039,350.0857,5.224485,173.218,345.9595,359.4991,183.2123,359.6973,
7,0.1606402,11.55976,178.9865,356.8669,358.6269,211.7345,351.0562,345.3559,184.1265,345.5885,31.35855,169.5659,5.173523,4.29493,169.4209,355.898,342.6552,148.4574,359.0958,338.1964,179.7845,358.8143,44.94409,150.4573,341.0809,19.75513,171.2216,7.751721,350.8554,179.8929,356.8853,350.8554,179.8929,356.8853,6.948575,178.0743,357.4586,6.948575,178.0743,357.4586,2.463364,187.558,22.45859,3.45164,185.3246,355.1331,10.39031,171.0467,0.3447401,347.5737,181.7419,351.6237,2.304522,178.2958,359.4365,6.948575,178.0743,357.4586,4.442531,167.658,350.0075,5.367372,173.1721,345.8946,359.5952,183.2005,359.4913,
8,0.1718055,11.57883,178.998,356.8752,358.585,211.7609,350.9633,345.2758,184.1672,345.5235,31.7995,169.6071,5.342828,4.295245,169.4209,355.8988,343.0881,148.4481,359.1484,338.5403,179.6845,359.1023,45.36823,150.582,341.1427,19.75514,171.183,7.751722,350.8815,179.9038,356.8954,350.8815,179.9038,356.8954,7.001911,178.0936,357.4794,7.001909,178.0936,357.4794,2.516747,187.6149,22.41534,3.512062,185.2909,355.181,10.36415,170.9966,0.3867599,347.6335,181.7672,351.6394,2.316886,178.3526,359.4149,7.001909,178.0936,357.4794,4.478045,167.647,349.944,5.408794,173.1604,345.8348,359.6809,183.2363,359.2757,
9,0.1835093,11.6064,179.0121,356.8895,358.5393,211.7918,350.8671,345.1907,184.2126,345.4572,32.20774,169.6488,5.501659,4.294261,169.4215,355.899,343.6742,148.4349,359.2213,339.0056,179.5511,359.4919,45.9416,150.7575,341.2323,19.75514,171.1372,7.751719,350.9201,179.914,356.9125,350.9201,179.914,356.9125,7.080014,178.1153,357.5143,7.080015,178.1153,357.5143,2.594755,187.6703,22.3803,3.595706,185.2711,355.2573,10.35758,170.9617,0.3908738,347.7219,181.7843,351.6681,2.339565,178.4081,359.3828,7.080015,178.1153,357.5143,4.537276,167.6244,349.8848,5.473431,173.1374,345.7814,359.7206,183.2852,359.1467,
10,0.1936409,11.64734,179.0286,356.9157,358.4514,211.8382,350.6947,345.0331,184.2842,345.3412,32.89978,169.7258,5.773998,4.29447,169.4227,355.8986,344.2112,148.4276,359.2825,339.4353,179.4364,359.8421,46.46739,150.9158,341.3135,19.75514,171.1002,7.751718,350.9753,179.919,356.9454,350.9753,179.919,356.9454,7.196264,178.1363,357.5788,7.196264,178.1363,357.5788,2.737515,187.8032,22.10652,3.737896,185.2671,355.5055,10.35206,170.9269,0.3982837,347.8417,181.7749,351.7363,2.347957,178.4455,359.3631,7.196264,178.1363,357.5788,4.630833,167.5931,349.813,5.573433,173.1058,345.7189,359.74,183.353,359.0768,
