Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.02,3.083632,0.05759767,359.7387,357.3164,32.65411,329.7122,75.59319,23.79307,44.6237,4.832237,347.7396,355.6616,4.151372,347.7187,355.3957,7.272655,330.2408,34.88443,73.88551,45.15821,31.23292,356.8338,1.553916,358.592,356.8338,1.553922,358.592,356.2557,0.05510585,359.6722,356.2557,0.05510585,359.6722,7.291745,359.6516,1.015158,7.291745,359.6516,1.015158,4.449394,337.4511,320.1826,2.055602,334.8163,326.2549,13.95086,345.8232,17.10125,7.456667,1.080621,359.3107,-1.067217E-06,-1.000516E-07,5.611226E-07,7.291745,359.6516,1.015158,8.440121,10.11667,32.31553,5.419819,14.83297,28.30037,4.101325,350.4003,3.780898,
3,0.12,4.840357,0.09255582,359.5872,354.7326,34.76187,325.0219,72.37794,21.25558,42.0094,6.506316,347.8061,356.3195,4.1524,347.7204,355.3977,4.762678,328.4068,38.46935,72.6911,32.7046,17.31067,356.8369,1.551991,358.5845,356.8369,1.551989,358.5845,355.322,0.08711465,359.6189,355.322,0.08711465,359.6189,14.73954,359.5721,2.126768,14.73954,359.5721,2.126768,11.11105,334.0509,320.1906,8.710506,331.3867,325.9537,13.71441,346.0522,17.07758,10.35917,0.9654384,0.02106548,-4.268867E-07,-2.334537E-07,3.209988E-07,14.73954,359.5721,2.126768,14.81395,12.76601,31.75393,11.81726,17.59296,28.28196,3.941011,350.0426,4.186599,
4,0.1369545,7.355545,359.881,359.4166,0.7092594,31.57261,347.6322,11.26104,0.9174677,358.0146,12.65274,347.8353,358.7888,4.146791,347.3396,355.4053,4.999725,329.5512,354.4726,359.8353,358.9364,6.201229,359.5058,1.793702,358.0122,356.8132,1.552023,358.5845,351.9889,359.8018,359.6163,351.9889,359.8018,359.6163,3.984231,359.2645,1.105979,3.984231,359.2645,1.105979,358.361,15.32119,19.45597,0.6905098,0.4050357,359.4858,10.47118,343.846,14.56082,345.4242,0.7582337,356.4147,359.1969,359.0666,2.485938,3.984231,359.2645,1.105979,0.6592429,340.3395,351.6276,1.446097,345.8557,347.1443,3.222059,347.1837,9.505848,
5,0.1430965,7.942319,359.8616,359.2514,1.038837,31.55575,348.8826,8.564903,1.137712,356.7734,11.5995,347.6703,358.3607,4.145418,347.2646,355.4056,3.15869,329.4092,355.3082,357.8221,358.7385,6.025124,0.597441,1.842338,357.7503,356.8133,1.555571,358.5713,352.0171,359.8197,359.4448,352.0171,359.8197,359.4448,6.702068,359.1147,1.063082,6.702068,359.1147,1.063082,1.495358,16.54007,16.86306,3.4746,4.110331,3.406493,10.36854,343.8746,14.60215,349.3446,0.8286834,356.4514,357.5193,358.9362,1.793612,6.702068,359.1147,1.063082,2.942107,337.9155,350.7157,3.80598,343.4288,346.4557,3.116544,347.1125,9.194066,
6,0.1494376,7.964266,359.8681,359.2418,1.502303,31.44551,349.5359,8.296432,1.10088,356.4893,11.08917,347.6058,358.1542,4.145413,347.2408,355.4056,3.107823,329.4109,355.3462,357.7592,358.7379,6.033267,0.6803416,1.84743,357.7323,356.8133,1.555569,358.5713,352.0208,359.8339,359.4325,352.0208,359.8339,359.4325,6.780536,359.1258,1.047575,6.780536,359.1258,1.047575,1.578936,16.58189,16.83138,3.556568,4.194604,3.513919,10.36854,343.8746,14.60215,349.4378,0.8773859,356.419,357.4817,358.9961,1.742041,6.780536,359.1258,1.047575,3.004468,337.8459,350.6879,3.870725,343.3592,346.434,3.116546,347.1125,9.194065,
7,0.1579903,7.969473,359.8742,359.2347,2.025827,31.32085,350.2884,7.964313,1.059742,356.1549,10.50877,347.5394,357.9217,4.147635,347.2182,355.4079,3.075636,329.415,355.3661,357.7214,358.7409,6.034819,0.7576211,1.852576,357.7102,356.8161,1.556292,358.5652,352.0187,359.8468,359.4225,352.0187,359.8468,359.4225,6.798629,359.1382,1.031826,6.798629,359.1382,1.031826,1.623612,16.61797,16.71512,3.593577,4.302946,3.733958,10.40675,343.8604,14.70395,349.4546,0.9218379,356.3834,357.4562,359.0523,1.697405,6.798629,359.1382,1.031826,3.002919,337.7885,350.6545,3.872384,343.3012,346.4006,3.119836,347.0892,8.99972,
8,0.1694528,7.974231,359.8784,359.2297,2.773531,31.14729,351.3993,7.422456,1.008606,355.6542,9.65149,347.4552,357.5756,4.144632,347.1941,355.4043,3.056169,329.4174,355.386,357.6947,358.7418,6.042617,0.8249536,1.848174,357.7007,356.8131,1.547086,358.571,352.016,359.8555,359.4156,352.016,359.8555,359.4156,6.819705,359.1462,1.022122,6.819705,359.1462,1.022122,1.633701,16.66015,16.73386,3.607054,4.386224,3.810946,10.52118,343.9275,14.79117,349.4736,0.9515033,356.3616,357.4221,359.0897,1.666497,6.819705,359.1462,1.022122,3.00931,337.7311,350.6331,3.880793,343.2436,346.3799,3.179494,347.0632,8.776412,
9,0.1803508,7.984349,359.8829,359.2229,3.837984,30.92161,353.0586,6.477684,0.966309,354.8827,8.432157,347.3512,357.0913,4.144665,347.1664,355.406,3.016016,329.4189,355.4111,357.6474,358.7419,6.044826,0.8627325,1.846167,357.6949,356.8177,1.54364,358.5727,352.0164,359.866,359.4061,352.0164,359.866,359.4061,6.853145,359.154,1.005074,6.853145,359.154,1.005074,1.658839,16.7174,16.73294,3.628121,4.50758,3.868816,10.64909,343.9862,14.80908,349.5106,0.9912869,356.3273,357.4005,359.1339,1.63166,6.853145,359.154,1.005074,3.030444,337.659,350.6246,3.902648,343.1715,346.3735,3.239053,346.9945,8.648774,
10,0.1913658,8.000228,359.8863,359.2155,4.924745,30.72075,354.8282,5.340282,0.9601007,354.0378,7.261857,347.2679,356.6322,4.143399,347.1464,355.4096,2.983903,329.4191,355.4333,357.6085,358.7408,6.048519,0.8424823,1.847261,357.6971,356.8176,1.546576,358.5707,352.0175,359.875,359.3964,352.0175,359.875,359.3964,6.90756,359.1579,0.9865845,6.90756,359.1579,0.9865845,1.67893,16.77714,16.8299,3.654369,4.5713,3.789834,10.72982,344.0773,14.79199,349.5707,1.028776,356.2936,357.3665,359.1696,1.602252,6.90756,359.1579,0.9865845,3.079933,337.5992,350.6297,3.951415,343.1122,346.3834,3.304946,346.9335,8.699553,
