Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
11,0.1999687,13.85305,181.9428,357.8363,357.9763,214.1712,355.9247,347.0756,185.5787,350.3238,31.13312,172.3505,6.800264,3.762233,169.6937,355.5699,358.4552,151.6558,355.6816,353.5407,181.1298,4.036239,60.34465,158.3564,334.8885,19.75513,180.6385,7.751721,352.9746,183.7245,358.3867,352.9746,183.7245,358.3867,11.80817,184.1942,0.5588155,11.80817,184.1942,0.5588155,12.10879,180.2921,358.7529,11.83175,174.0312,5.929666,357.6776,160.2831,20.74752,351.3296,193.3817,354.5954,0.3236966,198.4064,0.08043009,11.80817,184.1942,0.5588155,12.22528,170.3891,3.43987,12.31733,161.7638,356.4748,341.6645,182.5369,351.6124,
12,0.2108605,13.88732,181.9803,357.8558,358.2146,214.1881,356.1994,347.4162,185.5759,350.4539,30.07219,172.4163,6.215068,3.763664,170.0711,355.5713,358.5605,151.6906,355.7158,353.6155,181.1563,4.118328,60.42181,159.1079,334.9597,19.75513,181.2861,7.751719,353.007,183.767,358.4123,353.007,183.767,358.4123,11.87426,184.2712,0.6156799,11.87426,184.2712,0.6156799,12.19122,179.0128,359.6198,11.99488,175.3811,5.080581,357.6239,160.2868,20.78577,351.3815,193.502,354.6308,0.3256896,198.628,0.04246148,11.87426,184.2712,0.6156799,12.30306,170.6596,3.48549,12.40536,161.4305,356.3762,341.498,182.5682,351.6066,
13,0.2221392,13.91816,182.0167,357.8747,358.5119,214.1891,356.5874,347.8629,185.5447,350.6566,28.82093,172.5993,5.559641,3.761301,170.5731,355.568,358.5718,151.7317,355.719,353.6238,181.1965,4.126735,60.41626,159.6027,334.9531,19.75513,181.7879,7.751721,353.0335,183.8082,358.4371,353.0335,183.8082,358.4371,11.93244,184.3455,0.6708041,11.93244,184.3455,0.6708041,12.25742,179.024,359.6559,12.06318,175.3911,5.112224,357.5599,160.2671,20.91629,351.413,193.6194,354.6636,0.2943858,198.8425,0.002215865,11.93244,184.3455,0.6708041,12.36482,170.7906,3.495744,12.46813,161.2484,356.2925,341.4166,182.6047,351.5532,
14,0.2333518,13.95155,182.0462,357.8887,358.873,214.1729,357.0417,348.3976,185.4915,350.8869,27.62731,172.9723,4.951281,3.761884,171.2289,355.5677,358.5189,151.7637,355.7102,353.582,181.2321,4.092864,60.36699,159.5546,334.9228,19.75513,181.7879,7.751722,353.0636,183.8421,358.4554,353.0636,183.8421,358.4554,11.99529,184.4057,0.7142484,11.99529,184.4057,0.7142481,12.32764,179.0225,359.67,12.13414,175.3887,5.121757,357.5264,160.2542,20.98334,351.455,193.714,354.6835,0.2800555,199.016,359.9519,11.99529,184.4057,0.7142481,12.42914,170.952,3.498086,12.53112,161.0068,356.1726,341.4288,182.6407,351.5106,
15,0.2442315,13.98743,182.0751,357.9043,359.2779,214.1475,357.5348,348.9895,185.4264,351.1296,26.51372,173.5117,4.405477,3.762061,172.0028,355.567,358.4647,151.7942,355.7056,353.5371,181.2659,4.06196,60.31566,159.5141,334.9007,19.75514,181.7879,7.751723,353.0944,183.8742,358.4764,353.0944,183.8742,358.4764,12.06001,184.4645,0.7616916,12.06001,184.4645,0.7616916,12.39724,179.0407,359.7334,12.20752,175.4057,5.180529,357.5095,160.2434,20.99907,351.4943,193.8039,354.7141,0.2584862,199.1835,359.9191,12.06001,184.4645,0.7616916,12.49176,171.0619,3.484096,12.58799,160.8206,356.0545,341.5428,182.668,351.4921,
16,0.2559638,14.02409,182.1026,357.9169,359.7038,214.1155,358.0311,349.6017,185.3552,351.3641,25.61407,174.1895,3.979285,3.763272,172.8524,355.5694,358.4128,151.8227,355.7035,353.493,181.2975,4.034381,60.26626,159.4802,334.8842,19.75513,181.7879,7.751719,353.1256,183.9059,358.4935,353.1256,183.9059,358.4935,12.12591,184.5205,0.8025107,12.12591,184.5205,0.8025103,12.46597,179.0732,359.8063,12.28063,175.437,5.248733,357.5251,160.2268,20.99814,351.5321,193.8931,354.7338,0.2311179,199.3461,359.8731,12.12591,184.5205,0.8025103,12.55001,171.1984,3.44765,12.63587,160.6462,355.9116,341.6417,182.6819,351.4699,
17,0.2673948,14.06276,182.125,357.9299,0.1947923,214.0698,358.5526,350.2831,185.2708,351.5882,24.85451,175.0571,3.622627,3.762417,173.8612,355.5714,358.3594,151.8461,355.7016,353.4474,181.324,4.006306,60.2152,159.4458,334.8679,19.75513,181.7879,7.751721,353.1586,183.9297,358.5114,353.1586,183.9297,358.5114,12.19459,184.5653,0.8435355,12.19459,184.5653,0.8435355,12.53412,179.1359,359.9132,12.35526,175.4984,5.350986,357.501,160.2008,21.03299,351.5718,193.9574,354.7608,0.2046026,199.4699,359.8416,12.19459,184.5653,0.8435355,12.60715,171.2998,3.393763,12.67923,160.5038,355.7712,341.6457,182.7139,351.4314,
18,0.2773422,14.10786,182.1485,357.9453,0.6729596,214.0212,359.0774,350.955,185.1805,351.8206,24.3037,176.005,3.364,3.763322,174.9075,355.5689,358.303,151.869,355.7068,353.3958,181.3498,3.982888,60.15996,159.4242,334.8652,19.75513,181.7879,7.751721,353.1988,183.9533,358.5325,353.1988,183.9533,358.5325,12.27696,184.6115,0.8908383,12.27695,184.6115,0.8908383,12.6199,179.1815,359.965,12.44408,175.5424,5.396976,357.478,160.188,21.08806,351.6238,194.0193,354.7945,0.1822958,199.5935,359.81,12.27695,184.6115,0.8908383,12.66717,171.3282,3.290154,12.71854,160.4325,355.6341,341.5701,182.7613,351.4381,
19,0.2883822,14.15747,182.1677,357.9599,1.072359,213.9792,359.497,351.5073,185.1051,351.9973,24.13041,176.8861,3.258805,3.764775,175.8514,355.5694,358.2439,151.8883,355.7096,353.343,181.3722,3.956102,60.10241,159.3961,334.8571,19.75513,181.7879,7.751723,353.2418,183.9707,358.553,353.2418,183.9707,358.553,12.36441,184.6484,0.9369026,12.36441,184.6484,0.9369026,12.71157,179.2045,0.008088348,12.53823,175.5641,5.434066,357.4655,160.1633,21.14114,351.6773,194.0618,354.8309,0.1579391,199.6859,359.7848,12.36441,184.6484,0.9369026,12.74035,171.4282,3.22262,12.7752,160.2923,355.4913,341.4884,182.8028,351.4212,
20,0.299705,14.20069,182.1861,357.9716,1.518832,213.9251,359.9721,352.1277,185.0114,352.1995,24.0305,177.8653,3.166754,3.762369,176.9122,355.5684,358.1901,151.9072,355.7103,353.2958,181.3942,3.930055,60.05038,159.367,334.8462,19.75512,181.7879,7.751719,353.2796,183.9892,358.5695,353.2796,183.9892,358.5695,12.44136,184.6842,0.9744279,12.44136,184.6842,0.9744279,12.78897,179.2197,0.1222285,12.62254,175.5778,5.542811,357.4567,160.1474,21.18317,351.7236,194.11,354.8578,0.1329914,199.7821,359.758,12.44136,184.6842,0.9744279,12.81084,171.4802,3.187701,12.83476,160.1579,355.3898,341.4465,182.834,351.381,
