Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
11,0.2141342,10.55464,359.7194,359.4384,4.602847,30.84252,357.7301,5.43394,1.135463,356.7761,10.06814,344.2413,358.2239,4.342533,343.9604,355.9875,4.213305,328.9675,356.5301,358.1461,358.1627,7.605339,6.923865,5.5394,358.6617,358.4214,4.762439,0.500544,352.6997,359.3345,0.03230217,352.6997,359.3345,0.03230217,10.5241,358.9119,3.06604,10.5241,358.9119,3.06604,8.578054,6.226913,10.93214,9.903123,353.1894,5.411767,16.60005,338.9906,18.61797,352.6537,358.607,359.579,0.6047941,357.1107,3.663364,10.5241,358.9119,3.06604,7.760361,353.3418,346.1682,9.03565,358.8238,342.3847,8.326625,8.573143,352.7578,
12,0.2261283,10.58513,359.7204,359.4285,5.800994,30.65741,359.849,3.97395,1.054843,355.6044,9.177452,344.1115,357.8688,4.346191,343.8896,355.9859,4.180081,328.964,356.558,358.1035,358.1568,7.613461,7.156039,5.555254,358.6177,358.4277,4.762466,0.5048774,352.7139,359.3415,0.01982418,352.7139,359.3415,0.01982418,10.58854,358.9104,3.038199,10.58854,358.9104,3.038199,8.725383,6.017575,10.6293,9.994667,353.3941,5.711333,16.51586,338.9492,18.65425,352.6985,358.643,359.5344,0.5799432,357.1335,3.642453,10.58854,358.9104,3.038199,7.81811,353.3161,346.1313,9.096625,358.7982,342.3536,8.385678,8.57179,352.7186,
13,0.2364807,10.60917,359.7214,359.4191,8.294759,30.39947,4.60425,0.2914933,1.039857,352.9367,8.250604,343.9763,357.4943,4.345238,343.8223,355.9834,4.177029,328.9615,356.5787,358.0908,358.1523,7.630022,7.176788,5.559934,358.6093,358.424,4.763396,0.5003584,352.7279,359.3485,0.007264107,352.7279,359.3485,0.007264107,10.64467,358.9096,3.011651,10.64467,358.9096,3.011651,8.742602,6.157289,10.72883,10.03377,353.265,5.520819,16.51198,338.8897,18.58644,352.7437,358.6758,359.4904,0.5656229,357.1559,3.613257,10.64467,358.9096,3.011651,7.871587,353.2798,346.1279,9.15019,358.7626,342.3553,8.451525,8.558251,352.7258,
14,0.2474861,10.63266,359.721,359.4085,8.383148,30.39612,4.589307,0.3612427,1.038365,352.8805,8.605997,343.7708,357.5248,4.343937,343.7736,355.9815,4.172803,328.9588,356.5845,358.0842,358.1491,7.633022,7.137628,5.554347,358.6206,358.426,4.760829,0.5032086,352.7438,359.3546,359.9926,352.7438,359.3546,359.9926,10.70135,358.9051,2.977421,10.70134,358.9051,2.97742,8.742454,6.357111,10.87129,10.05682,353.1264,5.207548,16.56856,338.8428,18.44174,352.7952,358.7091,359.4387,0.5632148,357.1728,3.586706,10.70134,358.9051,2.97742,7.928524,353.2455,346.1337,9.206315,358.7295,342.3667,8.514436,8.572937,352.7939,
15,0.2585923,10.6579,359.7218,359.3998,8.457645,30.39461,4.62412,0.4430759,1.031713,352.8739,8.723432,343.5984,357.4769,4.337204,343.7387,355.9693,4.205778,328.9562,356.6001,358.1054,358.1443,7.662707,7.060271,5.530939,358.6266,358.4254,4.761305,0.4998706,352.7623,359.3609,359.981,352.7623,359.3609,359.981,10.75741,358.9045,2.953511,10.75741,358.9045,2.953511,8.757383,6.488523,10.99115,10.08517,353.0438,4.954531,16.67601,338.8304,18.28101,352.8534,358.7372,359.3985,0.5859694,357.193,3.556884,10.75741,358.9045,2.953511,7.990987,353.2427,346.1582,9.266177,358.7281,342.3971,8.51552,8.606043,352.8457,
16,0.2698142,10.6783,359.7244,359.394,8.514583,30.39554,4.619516,0.4904726,1.033052,352.842,8.927578,343.4361,357.4706,4.336369,343.7092,355.9653,4.307452,328.9572,356.5947,358.1968,358.1443,7.707558,6.851057,5.458556,358.6472,358.425,4.76023,0.4992544,352.7789,359.3687,359.9734,352.7789,359.3687,359.9734,10.8075,358.9072,2.932962,10.8075,358.9072,2.932962,8.709529,6.762045,11.31288,10.092,352.7563,4.502501,16.73129,338.825,18.13784,352.907,358.7733,359.3703,0.6034274,357.2256,3.552319,10.8075,358.9072,2.932962,8.040648,353.2062,346.1732,9.314194,358.6927,342.4169,8.529047,8.594163,352.8658,
17,0.2810018,10.70201,359.7236,359.3911,8.514023,30.39474,4.619006,0.4897327,1.032334,352.8419,9.223202,343.3105,357.4959,4.327247,343.7023,355.9477,4.503984,328.955,356.5885,358.3714,358.14,7.79809,6.572132,5.360563,358.6684,358.422,4.766813,0.4982248,352.7984,359.3694,359.9703,352.7984,359.3694,359.9703,10.86297,358.9027,2.921365,10.86297,358.9027,2.921365,8.757041,6.799279,11.32207,10.12394,352.7946,4.328505,16.80987,338.8716,17.97782,352.9685,358.7849,359.3588,0.6339723,357.226,3.564062,10.86297,358.9027,2.921365,8.092415,353.1577,346.1758,9.365475,358.6451,342.4245,8.558342,8.584835,352.8592,
18,0.291886,10.72574,359.7263,359.3902,8.553345,30.39758,4.638641,0.5335104,1.03223,352.8395,9.193082,343.2558,357.4618,4.31317,343.7124,355.9538,4.778899,328.9565,356.594,358.6088,358.1372,7.936914,6.350704,5.078815,358.6614,358.42,4.609016,0.4937564,352.8172,359.3741,359.9705,352.8172,359.3741,359.9705,10.91935,358.9063,2.918104,10.91935,358.9063,2.918104,8.814363,6.810762,11.31351,10.16728,352.8306,4.221082,16.80136,338.9291,17.86529,353.0278,358.8069,359.3579,0.6556947,357.2485,3.580663,10.91935,358.9063,2.918104,8.146487,353.1288,346.181,9.418804,358.6172,342.435,8.571129,8.574732,352.8143,
19,0.3029272,10.75379,359.7264,359.39,8.533043,30.40075,4.61269,0.5032443,1.039151,352.8271,9.30968,343.2189,357.4803,4.309628,343.7158,355.9514,5.05843,328.956,356.5923,358.8536,358.1339,8.071811,6.245154,4.857694,358.6256,358.4233,4.521635,0.4966562,352.8371,359.3738,359.972,352.8371,359.3738,359.972,10.98042,358.9048,2.920304,10.98042,358.9048,2.920304,8.925642,6.708194,11.11823,10.23132,353.0734,4.342974,16.79453,338.9739,17.76886,353.0883,358.8106,359.3636,0.6788841,357.2472,3.596464,10.98042,358.9048,2.920304,8.197012,353.0856,346.1476,9.47226,358.5741,342.4065,8.545629,8.565768,352.7639,
20,0.314337,10.77711,359.7278,359.393,8.501289,30.40557,4.58505,0.462144,1.048006,352.8188,9.367452,343.2273,357.4937,4.310171,343.7274,355.9462,5.367009,328.9585,356.5837,359.1272,358.1347,8.2148,6.196683,4.617781,358.5609,358.4245,4.424129,0.4934587,352.8555,359.3738,359.9778,352.8555,359.3738,359.9778,11.03588,358.9062,2.930203,11.03588,358.9062,2.930203,8.949732,6.800299,11.22288,10.26691,353.0667,4.214632,16.79199,338.9899,17.65087,353.1453,358.8141,359.3831,0.6991038,357.2508,3.626438,11.03588,358.9062,2.930203,8.240616,353.0354,346.1177,9.518494,358.5239,342.3809,8.495095,8.53986,352.7649,
