Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
11,0.2183867,8.358527,359.7096,359.1352,5.257215,30.44755,358.9161,5.767749,0.7590575,356.5737,4.948189,345.6329,356.6283,4.178663,345.6094,356.3336,3.315928,329.1159,356.9408,357.1628,358.2874,7.525507,3.972165,0.0369217,356.9312,357.5277,359.5318,358.2675,352.3679,359.5779,359.313,352.3679,359.5779,359.313,7.830214,358.8744,1.443333,7.830214,358.8744,1.443333,3.653176,11.46413,17.11956,5.654791,357.5969,1.475852,20.41599,340.8445,13.36451,351.0528,359.4555,356.871,358.8301,357.656,0.3256102,7.830214,358.8744,1.443333,4.67161,342.6361,350.4958,5.548561,348.1597,346.4034,5.602099,355.9121,355.5499,
12,0.2276168,8.37006,359.7059,359.132,5.909331,30.35728,0.1498621,4.765343,0.7249734,355.9085,4.287107,345.571,356.3733,4.180225,345.568,356.3325,3.537852,329.1152,356.9486,357.3528,358.2807,7.640675,3.76485,359.919,356.9284,357.5271,359.5281,358.2671,352.365,359.5738,359.3092,352.365,359.5738,359.3092,7.865417,358.8631,1.433599,7.865417,358.8631,1.433599,3.680363,11.49489,17.11884,5.688516,357.5689,1.47824,20.46795,340.8396,13.47019,351.0785,359.451,356.8549,358.7878,357.6309,0.3244428,7.865417,358.8631,1.433599,4.696827,342.5842,350.4724,5.575918,348.1078,346.3825,5.608494,355.9366,355.6268,
13,0.2385919,8.386403,359.7012,359.1299,5.984288,30.34445,0.341505,4.53634,0.7245018,355.7873,4.18003,345.5515,356.3341,4.180031,345.5515,356.3341,3.730017,329.1114,356.976,357.5072,358.2699,7.758281,3.620206,359.6927,356.9153,357.5259,359.3985,358.2655,352.3649,359.5675,359.3076,352.3649,359.5675,359.3076,7.912924,358.8495,1.428701,7.912924,358.8495,1.428701,3.780067,11.42247,16.94014,5.763489,357.6861,1.737139,20.45753,340.8162,13.46577,351.1198,359.4385,356.8487,358.7535,357.596,0.3334948,7.912924,358.8495,1.428701,4.738965,342.5543,350.4532,5.619695,348.0779,346.3675,5.608137,355.9723,355.7101,
14,0.249719,8.395395,359.6985,359.1311,6.159335,30.32166,0.6845621,4.148012,0.7237703,355.5353,4.182102,345.5539,356.338,4.182102,345.5539,356.338,4.003469,329.1137,356.986,357.7411,358.2657,7.900357,3.497887,359.4953,356.8774,357.5255,359.3293,358.2622,352.3598,359.5625,359.3108,352.3598,359.5625,359.3108,7.935168,358.8415,1.43268,7.935167,358.8415,1.43268,3.794615,11.40137,16.99234,5.784333,357.7062,1.773097,20.37339,340.7969,13.35436,351.1275,359.4272,356.8593,358.7141,357.5727,0.3592559,7.935167,358.8415,1.43268,4.75044,342.5204,350.4212,5.634183,348.0436,346.3368,5.630869,355.9921,355.7094,
15,0.2607893,8.407488,359.6954,359.1314,6.229747,30.31122,0.8563206,3.940894,0.7250109,355.4196,4.18218,345.5533,356.3405,4.18218,345.5533,356.3405,4.359306,329.1195,356.9754,358.0571,358.2662,8.064523,3.35563,359.267,356.8382,357.5181,359.2437,358.2661,352.3601,359.557,359.3129,352.3601,359.557,359.3129,7.971275,358.8334,1.43932,7.971275,358.8334,1.43932,3.829011,11.38173,17.01597,5.823215,357.7273,1.837288,20.31272,340.7836,13.29756,351.1588,359.41,356.8721,358.6888,357.5459,0.3715249,7.971275,358.8334,1.43932,4.773128,342.4825,350.3789,5.66083,348.0054,346.2968,5.681145,356.0087,355.6574,
16,0.272356,8.422302,359.6942,359.1336,6.313229,30.30135,1.059639,3.716377,0.7276976,355.2962,4.1831,345.5562,356.3383,4.183101,345.5562,356.3383,2.97449,328.775,0.98524,1.39414,358.2165,5.842556,4.237285,359.1161,356.6086,357.5201,359.1417,358.2746,352.3609,359.553,359.3182,352.3609,359.553,359.3182,8.014739,358.8295,1.45442,8.014739,358.8295,1.45442,3.849755,11.41262,17.09026,5.864508,357.7277,1.903101,20.29329,340.755,13.31709,351.1967,359.395,356.8996,358.662,357.5293,0.3945325,8.014739,358.8295,1.45442,4.795438,342.4455,350.3079,5.689851,347.9675,346.2281,5.724938,356.0228,355.5471,
17,0.2869536,8.442709,359.6947,359.135,6.535953,30.27952,1.532723,3.264434,0.731001,355.0263,4.176719,345.5576,356.3391,4.176719,345.5576,356.3391,2.62661,328.6159,2.708891,2.953149,358.1882,5.080793,5.324705,358.9835,356.3198,357.5145,359.0316,358.2572,352.3663,359.5516,359.3231,352.3663,359.5516,359.3231,8.069157,358.8307,1.474559,8.069155,358.8307,1.474559,3.925705,11.388,17.01954,5.945203,357.7574,2.142378,20.48075,340.7074,13.4688,351.2519,359.3826,356.9313,358.6572,357.5252,0.4049281,8.069155,358.8307,1.474559,4.819579,342.375,350.2181,5.722469,347.8958,346.141,5.692271,356.0697,355.4569,
18,0.2943605,8.462783,359.6948,359.137,6.96624,30.24018,2.388647,2.465095,0.7365,354.5226,4.17672,345.5576,356.3391,4.17672,345.5576,356.3391,2.715116,328.5442,3.694743,4.095472,358.2055,4.817131,6.354339,358.8063,356.0623,357.5145,358.8806,358.2572,352.372,359.549,359.3289,352.372,359.549,359.3289,8.130636,358.8312,1.499245,8.130636,358.8312,1.499245,3.988898,11.3885,17.01579,6.012445,357.8425,2.306739,20.48076,340.7074,13.4688,351.3144,359.364,356.9702,358.6403,357.516,0.4139796,8.130636,358.8312,1.499245,4.854027,342.3356,350.1253,5.765665,347.8553,346.0518,5.692275,356.0697,355.4569,
19,0.3061791,8.492804,359.6957,359.139,7.275065,30.2187,2.978557,1.850709,0.7518997,354.123,4.178009,345.5581,356.3434,4.178007,345.5581,356.3434,2.910267,328.5513,3.786141,4.351802,358.2271,4.916151,6.682227,358.7198,355.9779,357.5126,358.8035,358.2554,352.3809,359.5465,359.3362,352.3809,359.5465,359.3362,8.216619,358.8341,1.534718,8.216619,358.8341,1.534718,4.091817,11.391,16.94199,6.106401,357.9175,2.432017,20.53951,340.6759,13.46697,351.4011,359.3394,357.0236,358.6253,357.5082,0.4195452,8.216619,358.8341,1.534718,4.908054,342.2342,350.038,5.827801,347.7531,345.97,5.654319,356.0882,355.472,
20,0.3164493,8.505479,359.6952,359.1422,8.183367,30.16194,4.737356,0.2589733,0.7840787,353.1061,4.179194,345.56,356.3449,4.179195,345.56,356.3449,3.545224,328.6397,3.310671,4.380161,358.2918,5.447114,6.876966,358.5773,355.9361,357.5127,358.6667,358.263,352.3836,359.5428,359.343,352.3836,359.5428,359.343,8.253732,358.8335,1.556755,8.253732,358.8335,1.556755,4.099897,11.40052,17.07035,6.138399,357.8941,2.444526,20.50773,340.6338,13.38731,351.4357,359.3198,357.0603,358.6118,357.4948,0.437331,8.253732,358.8335,1.556755,4.921426,342.2006,349.9583,5.84876,347.7184,345.8918,5.609348,356.1032,355.4512,
21,0.327409,8.532369,359.694,359.1453,8.126883,30.16599,4.672814,0.1784334,0.7971752,353.0781,4.508621,345.5315,356.4445,4.183387,345.5653,356.3437,4.441732,328.7904,2.059377,3.764924,358.3466,6.37441,6.685894,358.4619,355.9955,357.5175,358.5457,358.2741,352.3918,359.5368,359.3513,352.3918,359.5368,359.3513,8.329183,358.8316,1.590511,8.329183,358.8316,1.590511,4.211228,11.34521,16.96146,6.233584,358.0089,2.680642,20.44714,340.5891,13.30426,351.5104,359.2868,357.1133,358.6007,357.4706,0.4522705,8.329183,358.8316,1.590511,4.961287,342.1382,349.8408,5.899676,347.6545,345.7786,5.654246,356.1236,355.3773,
22,0.3388676,8.553861,359.6962,359.1497,8.092906,30.17189,4.633058,0.1295203,0.8086365,353.0605,4.664101,345.5164,356.4923,4.184999,345.5659,356.3438,6.280406,329.0819,358.7667,1.566705,358.3454,8.527844,6.14931,358.3548,356.1331,357.5189,358.4236,358.2771,352.3973,359.5357,359.3614,352.3973,359.5357,359.3614,8.393064,358.8374,1.626193,8.393062,358.8374,1.626193,4.234457,11.37646,17.13051,6.28993,357.9293,2.625709,20.38391,340.5579,13.26363,351.5706,359.2697,357.1695,358.5788,357.4723,0.4733025,8.393062,358.8374,1.626193,5.006445,342.1063,349.7763,5.950818,347.622,345.7186,5.722429,356.1452,355.2763,
23,0.3496894,8.581243,359.6962,359.1537,8.057766,30.17638,4.58959,0.07779929,0.8191988,353.0402,4.787569,345.5038,356.5299,4.185741,345.5657,356.3433,7.334645,329.187,357.161,0.5664454,358.2954,9.674112,6.736309,358.4345,356.0995,357.5154,358.3047,358.2632,352.4085,359.531,359.3712,352.4085,359.531,359.3712,8.47251,358.8389,1.664755,8.472508,358.8389,1.664755,4.321375,11.37641,17.10163,6.37898,357.9249,2.698149,20.39273,340.547,13.33584,351.6537,359.2383,357.2289,358.577,357.4556,0.4875768,8.472508,358.8389,1.664755,5.061684,342.0516,349.6974,6.013344,347.5666,345.6452,5.776792,356.1597,355.2273,
24,0.3608573,8.611156,359.6973,359.1592,8.01923,30.18226,4.544371,0.02225513,0.8313839,353.0201,4.855373,345.4978,356.5529,4.185106,345.5665,356.3451,7.612275,329.1918,357.1671,0.8060558,358.3011,9.814477,7.420537,358.5674,356.0779,357.5135,358.1953,358.2617,352.4222,359.5268,359.3834,352.4222,359.5268,359.3834,8.5589,358.843,1.710271,8.558898,358.843,1.710271,4.400653,11.43096,17.08695,6.46281,357.9487,2.737718,20.4331,340.5356,13.41701,351.7464,359.2061,357.2993,358.5833,357.4434,0.5075174,8.558898,358.843,1.710271,5.128964,341.9829,349.6425,6.08557,347.4977,345.597,5.784856,356.1536,355.2395,
25,0.3713834,8.638986,359.6952,359.1627,7.99226,30.18445,4.498353,359.9764,0.8399841,352.9936,4.898849,345.4945,356.5671,4.185197,345.5675,356.3458,7.828879,329.1915,357.163,0.9973023,358.303,9.916283,8.333175,358.7591,356.0437,357.5089,358.0847,358.2709,352.4333,359.519,359.3923,352.4333,359.519,359.3923,8.638191,358.8399,1.748112,8.638191,358.8399,1.748112,4.493942,11.43447,17.01896,6.549213,357.9749,2.811819,20.45885,340.5053,13.45561,351.8264,359.1644,357.3561,358.5795,357.4099,0.5174763,8.638191,358.8399,1.748112,5.196049,341.9286,349.6048,6.155953,347.4434,345.5659,5.773635,356.1515,355.2615,
26,0.382439,8.67017,359.6951,359.167,7.952324,30.18959,4.445454,359.916,0.8524785,352.9675,4.869818,345.4987,356.5567,4.185917,345.5685,356.3445,8.020742,329.1917,357.1711,1.160993,358.304,10.01666,8.89296,358.9243,356.0643,357.5154,357.9871,358.2793,352.4479,359.5139,359.4026,352.4479,359.5139,359.4026,8.723071,358.8412,1.787641,8.723069,358.8412,1.787641,4.587442,11.44395,16.97512,6.636581,357.9999,2.845576,20.45204,340.4603,13.41814,351.9171,359.1323,357.4156,358.5943,357.3914,0.5333242,8.723069,358.8412,1.787641,5.268712,341.8597,349.5742,6.231199,347.3748,345.5425,5.758644,356.135,355.3009,
27,0.3935421,8.698544,359.6936,359.1708,7.921983,30.19265,4.398527,359.8667,0.8620738,352.9418,4.817555,345.5059,356.5405,4.187186,345.5703,356.3448,8.193953,329.1906,357.1668,1.314398,358.3052,10.09725,9.372,359.0993,356.0896,357.5173,357.898,358.2794,352.4626,359.5071,359.4115,352.4626,359.5071,359.4115,8.800719,358.8394,1.822985,8.800719,358.8394,1.822984,4.676747,11.44407,16.92326,6.713518,358.0412,2.858254,20.44209,340.4405,13.35702,352.0021,359.0959,357.4685,358.614,357.3635,0.5453199,8.800719,358.8394,1.822984,5.331642,341.7841,349.5377,6.297334,347.2992,345.5122,5.771385,356.1022,355.2772,
28,0.4045968,8.727339,359.6938,359.1718,7.889552,30.19757,4.358901,359.8192,0.8724937,352.9235,4.743451,345.5157,356.5142,4.188372,345.5724,356.3419,8.324831,329.1898,357.1664,1.428975,358.306,10.16055,9.748423,359.2685,356.1127,357.5151,357.8287,358.2728,352.4771,359.5041,359.4163,352.4771,359.5041,359.4163,8.878662,358.8415,1.853079,8.878662,358.8415,1.853079,4.756657,11.47168,16.89309,6.789913,358.0571,2.860584,20.45092,340.4318,13.37615,352.0857,359.0708,357.5073,358.6307,357.3513,0.534525,8.878662,358.8415,1.853079,5.408046,341.7212,349.545,6.37269,347.2373,345.5269,5.782987,356.0767,355.2361,
29,0.4157318,8.754866,359.6925,359.1723,7.860858,30.20082,4.318885,359.7748,0.8812861,352.903,4.63063,345.5263,356.4834,4.187755,345.5716,356.3459,8.410986,329.1868,357.1637,1.505525,358.3044,10.20016,9.979408,359.4011,356.1423,357.5135,357.7745,358.2693,352.4904,359.4992,359.4202,352.4904,359.4992,359.4202,8.950943,358.8405,1.881045,8.950943,358.8405,1.881045,4.837473,11.51489,16.81226,6.859128,358.0813,2.84586,20.46619,340.4363,13.44975,352.1619,359.0397,357.5424,358.6475,357.3286,0.5210399,8.950943,358.8405,1.881045,5.474088,341.6422,349.5419,6.438723,347.1589,345.5302,5.814407,356.0372,355.1853,
30,0.4268281,8.77907,359.6916,359.1743,7.847426,30.20337,4.28395,359.7462,0.8887119,352.8794,4.543579,345.5345,356.4596,4.185904,345.5712,356.3485,8.457161,329.1839,357.1606,1.547365,358.3024,10.21997,10.03905,359.4742,356.1827,357.5153,357.7316,358.274,352.5038,359.4946,359.4258,352.5038,359.4946,359.4258,9.015266,358.8401,1.908543,9.015266,358.8401,1.908543,4.892484,11.57782,16.79464,6.911349,358.0763,2.759024,20.45793,340.437,13.48533,352.2327,359.0117,357.5798,358.6696,357.3088,0.5190172,9.015266,358.8401,1.908543,5.533937,341.5695,349.5438,6.498126,347.087,345.5378,5.82027,356.0179,355.177,
31,0.4380178,8.799556,359.6891,359.1766,7.828236,30.20408,4.248419,359.7122,0.8943783,352.8581,4.4048,345.55,356.415,4.18598,345.5725,356.347,8.464458,329.1792,357.1548,1.556541,358.2986,10.21847,9.937743,359.4777,356.2216,357.5125,357.705,358.282,352.5142,359.4875,359.4315,352.5142,359.4875,359.4315,9.069799,358.8355,1.932928,9.069799,358.8355,1.932928,4.975957,11.54725,16.68941,6.971887,358.0762,2.725984,20.41177,340.4261,13.44517,352.2898,358.9788,357.6148,358.6819,357.277,0.5241885,9.069799,358.8355,1.932928,5.592201,341.5198,349.5649,6.554088,347.0382,345.5645,5.856449,356.0035,355.1697,
