Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.02,3.083632,0.05759767,359.7387,343.2597,44.49402,301.3407,52.93661,10.77069,28.69434,5.031597,345.6866,356.7834,4.381845,345.6662,356.5352,349.5206,316.4792,66.40011,48.86342,2.865646,346.8899,358.8961,359.0524,0.5298751,358.8961,359.0524,0.5298751,356.2557,0.05510585,359.6722,356.2557,0.05510585,359.6722,7.291745,359.6516,1.015158,7.291745,359.6516,1.015158,10.74795,357.5929,315.8885,8.158428,355.1212,321.7043,5.988818,345.4123,17.42753,7.456667,1.080621,359.3107,-1.067217E-06,-1.000516E-07,5.611226E-07,7.291745,359.6516,1.015158,12.31177,357.0453,35.85649,8.997269,1.602383,32.1151,351.9257,2.14567,355.119,
3,0.12,3.384933,0.06227617,359.7065,343.1838,45.07506,299.9955,52.70564,9.83822,27.38354,6.638169,345.7488,357.3983,4.383034,345.6659,356.5345,349.3312,316.074,66.80749,47.92601,1.546903,345.6741,358.9002,359.0589,0.5165545,358.9002,359.0589,0.5165537,355.9982,0.05600085,359.651,355.9982,0.05600085,359.651,8.442034,359.6604,1.337279,8.442034,359.6604,1.337279,11.76335,357.1158,315.9229,9.174318,354.6358,321.6939,6.037979,345.5165,17.23639,7.985007,0.8634238,359.864,4.268867E-07,-7.337115E-08,2.801444E-07,8.442034,359.6604,1.337279,13.29974,357.4981,35.80145,9.986367,2.071632,32.1406,352.1804,2.108222,355.222,
4,0.1437334,8.024017,359.7711,359.3289,2.951055,31.22387,346.9157,11.9513,0.3154322,356.3803,12.96938,345.4129,359.8716,4.371182,344.9064,356.5216,4.990018,329.2965,356.057,359.0542,358.5305,7.572888,359.6151,359.1519,0.3463826,358.9331,359.0804,0.4980657,352.4209,359.6522,359.5393,352.4209,359.6522,359.5393,7.279182,358.8827,1.107892,7.279182,358.8827,1.107892,2.738907,13.26888,16.95231,4.119051,0.4106252,355.765,3.16061,346.9247,16.89837,350.7558,0.3466967,356.7086,358.9963,358.1527,2.273309,7.279182,358.8827,1.107892,6.036079,348.939,356.148,6.36105,354.5333,352.1678,353.654,1.746744,357.3487,
5,0.1487783,8.24735,359.815,359.2228,4.27565,30.98932,349.1179,10.45857,0.4032164,355.3022,11.54933,345.1655,359.3042,4.365073,344.7789,356.5178,4.680194,329.3037,356.2858,358.6724,358.5174,7.620595,0.7078552,359.2525,0.1135915,358.9394,359.0721,0.505784,352.3863,359.7617,359.4087,352.3863,359.7617,359.4087,7.900352,358.9606,0.9774899,7.900352,358.9606,0.9774899,3.454408,13.17861,16.80109,4.823685,1.029637,356.499,3.072091,347.0782,16.76975,351.2931,0.6825236,356.4115,358.4883,358.5869,1.720535,7.900352,358.9606,0.9774899,6.539719,348.6516,355.623,6.913178,354.2487,351.6945,354.2098,1.891765,356.9152,
6,0.1531094,8.258947,359.8143,359.214,4.569022,30.92297,349.6077,10.15098,0.4046412,355.0648,11.12449,345.1081,359.136,4.365072,344.7546,356.5178,4.660872,329.3002,356.3117,358.643,358.5115,7.633706,0.765885,359.2584,0.1009153,358.9394,359.0721,0.5057843,352.3852,359.7653,359.3961,352.3852,359.7653,359.3961,7.938195,358.9555,0.9522583,7.938195,358.9555,0.9522583,3.481365,13.19959,16.83373,4.855886,1.068686,356.5276,3.072093,347.0782,16.76975,351.3265,0.7023051,356.3661,358.4519,358.5926,1.680453,7.938195,358.9555,0.9522583,6.575065,348.6252,355.6106,6.949547,354.2226,351.6855,354.2098,1.89177,356.9152,
7,0.1637484,8.261831,359.8136,359.2122,4.858574,30.85737,350.086,9.845928,0.404865,354.8247,10.73479,345.0544,358.9863,4.366038,344.73,356.5224,4.65556,329.2988,356.3175,358.6355,358.5096,7.636145,0.7935413,359.2634,0.09242353,358.9377,359.0741,0.5036942,352.3841,359.765,359.3938,352.3841,359.765,359.3938,7.945745,358.9532,0.9477928,7.945745,358.9532,0.9477928,3.5207,13.15763,16.73315,4.867405,1.231754,356.5214,3.022588,347.1457,16.63045,351.3308,0.7030356,356.3584,358.4417,358.589,1.674438,7.945745,358.9532,0.9477928,6.557539,348.6089,355.4965,6.943167,354.2054,351.5701,354.5439,1.95218,356.6414,
8,0.1749684,8.264199,359.8134,359.2112,5.621947,30.696,351.3672,9.015892,0.4184779,354.1807,9.699026,344.9442,358.5765,4.36837,344.692,356.5199,4.650444,329.2978,356.328,358.6259,358.5075,7.642774,0.8836641,359.274,0.0670564,358.9358,359.0756,0.4984071,352.3835,359.7652,359.3925,352.3835,359.7652,359.3925,7.952241,358.9524,0.9456282,7.952239,358.9524,0.945628,3.515239,13.19289,16.75276,4.853306,1.336531,356.4348,3.022025,347.1922,16.53738,351.3354,0.704439,356.3547,358.4348,358.5888,1.671152,7.952239,358.9524,0.945628,6.538314,348.5945,355.3798,6.935339,354.1901,351.452,354.846,2.031874,356.3876,
9,0.1857404,8.270852,359.8131,359.2089,6.472009,30.5372,352.8171,8.00318,0.4605582,353.4211,8.533712,344.8318,358.1248,4.368923,344.6516,356.5228,4.624492,329.2959,356.336,358.5994,358.5052,7.637079,0.9882867,359.2824,0.04952772,358.9366,359.0742,0.5039634,352.3868,359.7664,359.3891,352.3868,359.7664,359.3891,7.974473,358.9495,0.9350122,7.974473,358.9495,0.9350122,3.551781,13.17362,16.71003,4.877297,1.411038,356.4272,3.035895,347.2414,16.5239,351.3629,0.7145604,356.339,358.4345,358.5909,1.667945,7.974473,358.9495,0.9350122,6.539811,348.5984,355.2765,6.946835,354.1934,351.3493,355.158,2.181539,356.1854,
10,0.1970212,8.278819,359.8129,359.2057,7.341033,30.3967,354.3903,6.873785,0.5356632,352.6334,7.411086,344.7428,357.6868,4.36825,344.6229,356.5191,4.621097,329.2944,356.3444,358.5923,358.5029,7.642747,0.9617884,359.2796,0.05949085,358.9386,359.074,0.5076686,352.3882,359.7682,359.3847,352.3882,359.7682,359.3847,7.996629,358.9463,0.9209766,7.996629,358.9463,0.9209764,3.569695,13.17938,16.72564,4.888247,1.483139,356.3669,3.041783,347.2854,16.48246,351.3857,0.7288938,356.3176,358.4277,358.5953,1.664818,7.996629,358.9463,0.9209764,6.537347,348.6273,355.1457,6.957047,354.2213,351.2188,355.2711,2.370528,356.0214,
