Frame,Time,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_Spine3RotX,m_avg_Spine3RotY,m_avg_Spine3RotZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.02,3.083633,0.05759778,359.7387,355.1784,33.9174,324.5124,81.37286,16.20395,35.61891,5.22971,348.8583,355.6203,4.661592,348.8391,355.3972,359.328,326.5331,40.23835,80.09209,28.24099,10.00311,358.7781,358.4926,0.3889073,358.7781,358.4926,0.3889107,356.2557,0.05510605,359.6722,356.2557,0.05510605,359.6722,7.291745,359.6516,1.015157,7.291745,359.6516,1.015157,3.137269,333.4257,319.5478,0.7158669,330.819,325.6819,18.47519,349.3068,7.132401,7.456694,1.080621,359.3107,-1.067217E-06,-6.670107E-08,6.113569E-07,7.291745,359.6516,1.015157,8.345165,9.840026,27.29309,5.744735,14.80486,23.31783,7.676862,355.1353,349.5927,
3,0.12,4.539462,0.08342206,359.6075,352.955,35.96485,320.4332,78.1673,15.53183,35.10535,6.664148,348.9109,356.1887,4.668691,348.8333,355.4031,357.4041,324.6484,44.10471,76.93983,13.66111,354.5809,358.7756,358.489,0.3929241,358.7756,358.489,0.3929313,355.3821,0.09708883,359.5993,355.3821,0.09708883,359.5993,13.37728,359.4516,1.494371,13.37728,359.4516,1.494371,8.41421,330.5138,319.6185,5.990511,327.89,325.5112,18.46318,349.3907,7.214892,9.998116,1.288898,359.1827,3.979576E-16,1.334021E-07,-3.41843E-07,13.37728,359.4516,1.494371,13.8288,11.46386,26.56516,11.26977,16.53408,23.08307,7.334802,355.1498,349.2292,
4,0.1557677,9.44931,358.9706,359.1651,0.9934032,31.07192,347.7278,8.928804,0.5293637,357.0955,13.45517,346.5583,358.9401,4.656017,346.0011,355.4117,1.489134,328.4524,354.4589,356.7837,357.8896,4.464815,359.0318,358.4995,0.3101739,358.7804,358.4884,0.3730534,352.3424,358.4557,359.4653,352.3424,358.4557,359.4653,7.042279,357.2838,1.224349,7.042279,357.2838,1.224349,4.078669,2.14714,20.42602,4.96754,359.5217,4.660725,19.7095,349.8917,6.118211,349.8482,356.2973,357.0816,4.214828,352.4253,2.801823,7.042279,357.2838,1.224349,0.9269944,343.6887,337.6054,3.024136,348.8534,333.1989,6.50042,355.2094,349.0141,
5,0.1627292,10.33992,358.9607,359.0142,2.864583,30.74248,350.5795,6.508513,0.6059058,355.5517,11.82277,345.3567,358.2693,4.660759,344.9463,355.413,0.1565665,328.3276,355.1257,355.2955,357.7603,4.390434,0.6767586,358.5499,359.8894,358.7775,358.4886,0.3703618,352.9697,358.5107,359.3051,352.9697,358.5107,359.3051,9.818629,357.1412,0.9504474,9.818629,357.1412,0.9504474,6.713047,3.757419,18.7609,7.554498,0.8186262,7.665243,19.49277,349.8884,6.091878,353.2532,356.6492,356.8329,4.177076,352.5035,2.692704,9.818629,357.1412,0.9504474,3.175271,341.8205,336.8473,5.331399,346.9719,332.6449,6.471568,355.1627,348.8587,
6,0.1728122,10.44119,358.9514,358.9872,3.33783,30.63106,351.4034,5.964239,0.597345,355.1733,11.26861,345.1256,358.0435,4.658474,344.7604,355.4118,0.03674098,328.3041,355.2184,355.1455,357.7349,4.412403,0.9050618,358.5548,359.8333,358.7787,358.4879,0.371902,353.0332,358.5106,359.2728,353.0332,358.5106,359.2728,10.0818,357.1091,0.8908153,10.0818,357.1091,0.8908153,6.926793,3.885424,18.86147,7.771498,0.9553562,7.760363,19.30642,349.8752,6.106486,353.5285,356.6662,356.7614,4.175456,352.4714,2.64328,10.0818,357.1091,0.8908153,3.385182,341.641,336.754,5.548836,346.7907,332.5707,6.435185,355.155,348.8683,
7,0.1835967,10.45623,358.9487,358.9822,4.153799,30.43564,352.7371,5.222535,0.5538661,354.5573,10.3816,344.7987,357.6867,4.657197,344.5009,355.4137,0.01205667,328.3009,355.2245,355.1211,357.7323,4.405519,1.097299,358.5616,359.7874,358.7749,358.4901,0.3759511,353.0422,358.5089,359.2665,353.0422,358.5089,359.2665,10.11735,357.1018,0.8802966,10.11735,357.1018,0.8802966,6.931823,3.927977,18.98558,7.782266,1.003602,7.757367,19.08301,349.8612,6.14281,353.5654,356.6623,356.7465,4.180071,352.4568,2.627408,10.11735,357.1018,0.8802966,3.403961,341.6027,336.717,5.570848,346.7512,332.5355,6.412946,355.1389,348.881,
8,0.195062,10.47244,358.947,358.975,5.108131,30.2272,354.4102,4.182366,0.5369443,353.738,9.35793,344.4818,357.2744,4.656235,344.2544,355.4126,-0.004669928,328.2977,355.2354,355.1011,357.7289,4.406843,1.145438,358.5621,359.7729,358.7751,358.4895,0.3735452,353.0508,358.5103,359.257,353.0508,358.5103,359.257,10.16153,357.0956,0.8619705,10.16154,357.0956,0.8619707,6.972961,3.965547,18.94386,7.826577,1.010177,7.829058,18.88997,349.8066,6.171176,353.6051,356.6715,356.7207,4.159619,352.4546,2.607201,10.16154,357.0956,0.8619707,3.432025,341.5602,336.6869,5.601497,346.7077,332.5079,6.416143,355.1262,348.884,
9,0.2061614,10.49361,358.9444,358.9664,6.360483,29.98919,356.7715,2.545103,0.5741685,352.508,8.23967,344.1766,356.8304,4.65629,344.0176,355.4154,359.9766,328.2931,355.2483,355.0785,357.7242,4.408888,1.176093,358.5626,359.765,358.7754,358.4894,0.3734262,353.0623,358.5111,359.2459,353.0623,358.5111,359.2459,10.21335,357.0873,0.8408655,10.21335,357.0873,0.8408655,7.031365,4.024372,18.8092,7.884983,1.026474,8.045065,18.69478,349.7474,6.21368,353.6543,356.6792,356.6914,4.15064,352.4482,2.584987,10.21335,357.0873,0.8408655,3.468971,341.504,336.6709,5.639713,346.6513,332.4952,6.457902,355.1267,348.8612,
10,0.2168352,10.51544,358.943,358.9585,8.628881,29.68414,1.348951,359.0166,0.8216575,349.9611,7.296838,343.9154,356.4437,4.657051,343.8262,355.4149,359.9594,328.2898,355.2565,355.0594,357.721,4.407497,1.151735,358.5624,359.7718,358.776,358.4901,0.3740632,353.0751,358.5135,359.236,353.0751,358.5135,359.236,10.26721,357.0811,0.8192496,10.26721,357.0811,0.8192496,7.097504,4.066575,18.66607,7.946226,1.050527,8.20887,18.63439,349.7502,6.317116,353.7077,356.6943,356.6644,4.147136,352.4519,2.573021,10.26721,357.0811,0.8192496,3.510233,341.4449,336.6674,5.681142,346.5924,332.4955,6.493168,355.108,348.8032,
