epoch,loss,lr,val_loss
0,5930.03857421875,0.001,7454.9755859375
1,5859.79541015625,0.001,6116.18408203125
2,5845.884765625,0.001,6088.03466796875
3,5829.810546875,0.001,6305.01220703125
4,5816.32958984375,0.001,8354.865234375
5,5791.9453125,0.001,6409.50146484375
6,5764.54296875,0.001,6667.9912109375
7,5731.8203125,0.00020000001,7412.9833984375
8,5713.837890625,0.00020000001,7841.18408203125
9,5701.51220703125,0.00020000001,9534.203125
0,5938.03662109375,0.001,6141.69873046875
1,5864.8271484375,0.001,6227.3515625
2,5844.07861328125,0.001,6166.95361328125
3,5817.65869140625,0.001,6492.58154296875
4,5787.21728515625,0.001,7586.5517578125
5,5747.48779296875,0.00020000001,6851.15966796875
6,5720.810546875,0.00020000001,8164.7001953125
7,5701.4228515625,0.00020000001,7622.751953125
0,7306.49658203125,0.001,7292.111328125
1,7182.72998046875,0.001,8513.85546875
2,7147.70556640625,0.001,7674.01513671875
3,7096.69091796875,0.001,8237.6220703125
0,4940.70703125,0.001,4901.5986328125
1,4898.2998046875,0.001,4902.3916015625
2,4893.310546875,0.001,5232.28271484375
3,4888.67626953125,0.001,5091.44677734375
4,4884.49462890625,0.001,4914.54052734375
5,4878.494140625,0.00020000001,5001.77001953125
6,4875.16650390625,0.00020000001,5022.06884765625
7,4872.2373046875,0.00020000001,5079.919921875
0,4941.51123046875,0.001,4900.259765625
1,4900.69482421875,0.001,4899.990234375
2,4900.31201171875,0.001,4899.97607421875
3,4899.9306640625,0.001,4899.9970703125
4,4899.189453125,0.001,4903.44970703125
5,4896.64404296875,0.001,4902.81103515625
6,4895.439453125,0.001,4907.84423828125
7,4889.40966796875,0.00020000001,4937.49072265625
8,4885.88037109375,0.00020000001,4953.623046875
9,4883.0830078125,0.00020000001,4976.36962890625
0,5011.130859375,0.001,4977.61083984375
1,4976.17578125,0.001,4977.5771484375
2,4976.1748046875,0.001,4977.81298828125
3,4976.1875,0.001,4977.701171875
4,4976.1806640625,0.001,4977.54541015625
5,4976.1767578125,0.001,4977.70654296875
6,4976.14892578125,0.001,4977.61474609375
7,4976.11865234375,0.001,4977.697265625
8,4976.09228515625,0.001,4977.63818359375
9,4975.873046875,0.00020000001,4977.59375
10,4975.86474609375,0.00020000001,4977.60986328125
11,4975.82763671875,0.00020000001,4977.6142578125
0,5011.060546875,0.001,4977.78515625
1,4976.1875,0.001,4977.72607421875
2,4976.16455078125,0.001,4977.5810546875
3,4976.15185546875,0.001,4977.8203125
4,4976.1455078125,0.001,4977.62841796875
5,4976.12939453125,0.001,4977.63525390625
6,4976.0703125,0.001,4977.763671875
7,4975.8623046875,0.00020000001,4977.55810546875
8,4975.86083984375,0.00020000001,4977.57763671875
9,4975.8349609375,0.00020000001,4977.65625
10,4975.81494140625,0.00020000001,4977.6279296875
11,4975.78515625,0.00020000001,4977.69873046875
12,4975.74755859375,1e-04,4977.66357421875
13,4975.7236328125,1e-04,4977.697265625
14,4975.720703125,1e-04,4977.68212890625
0,5606.20849609375,0.001,5607.6650390625
